Id,SF,SalePrice
1,4316,755000
2,4476,745000
3,3627,625000
4,2364,611657
5,2822,582933
6,2868,556581
7,2402,555000
8,3279,538000
9,2234,501837
10,3140,485000
11,3036,475000
12,2633,466500
13,2076,465000
14,2296,451950
15,2713,446261
16,1976,440000
17,2945,438780
18,2728,437154
19,3228,430000
20,2332,426000
21,2828,424870
22,2097,423000
23,2121,415298
24,2668,412500
25,3238,410000
26,2794,403000
27,2020,402861
28,2448,402000
29,1940,395192
30,1973,395000
31,1932,394617
32,1856,394432
33,1652,392500
34,1419,392000
35,2392,386250
36,1842,385000
37,2084,385000
38,2696,383970
39,3447,381000
40,2643,380000
41,2018,378500
42,1746,377500
43,1922,377426
44,2036,375000
45,1792,374000
46,2046,372500
47,1710,372402
48,1766,370878
49,2028,369900
50,1702,367294
51,2576,361919
52,1944,360000
53,3194,359100
54,2468,354000
55,2113,350000
56,2224,350000
57,2392,348000
58,2324,345000
59,2704,345000
60,2596,342643
61,2418,341000
62,2466,340000
63,2450,340000
64,2078,339750
65,1718,337500
66,2365,337000
67,2612,336000
68,2519,335000
69,2184,335000
70,1902,335000
71,2599,333168
72,1709,328900
73,2260,328000
74,1850,326000
75,2161,325624
76,2376,325300
77,0,325000
78,2775,325000
79,2622,325000
80,1652,325000
81,1719,324000
82,3222,320000
83,2462,320000
84,1698,320000
85,1905,320000
86,1752,319900
87,1826,319000
88,1869,318061
89,1694,318000
90,1734,318000
91,2473,317000
92,2132,316600
93,2398,315750
94,1620,315500
95,2727,315000
96,2630,315000
97,1838,315000
98,1980,315000
99,1828,314813
100,2153,313000
101,1800,312500
102,1726,311872
103,1954,311500
104,2520,310000
105,2007,310000
106,2452,309000
107,1694,307000
108,1704,306000
109,2000,305900
110,2262,305000
111,2610,303477
112,1824,302000
113,2810,302000
114,1987,301500
115,2730,301000
116,2715,299800
117,1718,297000
118,1630,295493
119,3493,295000
120,2167,294000
121,1646,293077
122,2520,290000
123,2270,290000
124,2531,290000
125,1660,290000
126,2526,290000
127,1801,289000
128,1578,287090
129,2898,287000
130,2263,287000
131,1593,286000
132,1668,285000
133,2374,285000
134,2872,285000
135,1629,284000
136,2046,284000
137,1776,283463
138,1464,282922
139,2482,281213
140,1970,281000
141,1924,280000
142,2172,280000
143,1533,280000
144,1836,280000
145,1494,279500
146,2524,278000
147,1659,278000
148,1561,277500
149,2062,277000
150,2144,277000
151,2574,276000
152,2098,275500
153,1644,275000
154,1904,275000
155,1742,275000
156,1787,275000
157,1646,275000
158,2201,274970
159,1713,274900
160,2021,274725
161,2097,274300
162,1518,274000
163,1601,272000
164,2872,272000
165,2196,271900
166,1689,271000
167,2127,271000
168,1959,270000
169,1494,270000
170,1629,270000
171,2013,269790
172,1968,269500
173,2295,268000
174,2217,268000
175,2452,267000
176,2340,266500
177,1939,266000
178,1684,266000
179,2640,265979
180,1484,265900
181,2344,265000
182,1567,264561
183,1506,264132
184,1935,263435
185,2094,263000
186,1566,262500
187,2156,262500
188,2329,262280
189,1624,262000
190,1872,261500
191,1720,260400
192,2417,260000
193,1734,260000
194,2353,260000
195,2646,260000
196,1524,260000
197,1530,260000
198,2320,259500
199,1530,259000
200,2263,258000
201,1839,257500
202,1844,257000
203,1600,256300
204,1663,256000
205,2792,256000
206,2290,255900
207,1717,255500
208,1636,255000
209,1989,255000
210,1947,254900
211,1324,254000
212,2042,253293
213,1971,253000
214,1852,252678
215,1953,252000
216,1652,251000
217,1372,250580
218,2198,250000
219,1992,250000
220,1634,250000
221,2654,250000
222,2057,250000
223,2514,250000
224,1958,250000
225,2784,250000
226,1656,249700
227,1646,248900
228,1689,248328
229,2285,248000
230,1850,248000
231,1500,246578
232,1288,245500
233,1694,245350
234,1563,245000
235,1468,244600
236,2403,244400
237,2223,244000
